additional_info,address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,pageurl,point_of_interest,property_id,property_name,property_type,province,qts,query_time_stamp,review_count_by_category,room_area,room_count,room_facilities,room_type,similar_hotel,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
Room Service|Internet Access|Restaurant|Free Internet,"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,India,2016-07-24,85,null,gostays,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,2,20,32.1393865,Others,77.1546599,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/4295794325445028988/na/hq/,Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House,HTLGBO1000016238,Baragarh Regency,Resort,Manali,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::74|critical reviews::13|reviews with images::13,"",17,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Safe - In - Room |Hill View from all Rooms|HD / LCD Satellite TV |Sofa Table / Extra Seats |Private Garden|TV|Bathrobes|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",Deluxe Room,https://www.goibibo.com/hotels/woodchime-homestay-hotel-in-Kullu-5930870781977298889|https://www.goibibo.com/hotels/tall-trees-resort-hotel-in-Manali-4499032344327794322|https://www.goibibo.com/hotels/oakwood-chalet-hotel-in-Manali-1742814392017514773|https://www.goibibo.com/hotels/span-resorts-and-spa-hotel-in-Manali-2255677305027447320|https://www.goibibo.com/hotels/heritage-village-resorts-&-spa-hotel-in-Manali-3016031428709809122|https://www.goibibo.com/hotels/ooak-hotels-hotel-in-Manali-335123651378108523|https://www.goibibo.com/hotels/baba-deluxe-hotel-in-Manali-4603302465717901783|https://www.goibibo.com/hotels/bharhka-countryside-cottage-resort-hotel-in-Manali-2387611382230099445|https://www.goibibo.com/hotels/hilltone-resorts-&-spa-hotel-in-Manali-2862908591311913427,87,4.0,Service Quality::3.9|Amenities::3.7|Food and Drinks::3.8|Value for Money::4.1|Location::4.0|Cleanliness::4.1,goibibo,Himachal Pradesh,2c8db027d43a9452a43e88eb30d9f983
Room Service|Gym/Spa,"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,India,2016-07-24,87,null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,0,17,28.4720966,Sushant Lok,77.0725457,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/5361191673431822820/na/hq/,Sushant Lok|Sahara Mall|Amity International School,HTLGBO1000015822,Asian Suites A- 585,Guest House,Gurgaon,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::8|critical reviews::0|reviews with images::2,14 X 12 Sq.ft.,18,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Makeup / Shaving Mirror|Coffee Table|Snacks / Beverage|TV|Room Heater|Mirror|Mini Refrigerator|Utensils (on request)|Attached Bathroom",Deluxe Room With Free WIFI,https://www.goibibo.com/hotels/stepinn-iffco-chowk-hotel-in-Gurgaon-6435118679919376344|https://www.goibibo.com/hotels/micasa-suites--hotel-in-Gurgaon-1749416377003897694|https://www.goibibo.com/hotels/the-pearl-hotel-in-Gurgaon-1273003345842398570|https://www.goibibo.com/hotels/sonam-regency-inn-pvt.-ltd-hotel-in-Gurgaon-8913493133834020973|https://www.goibibo.com/hotels/asian-suites-a--584-hotel-in-Gurgaon-3632022144972189490|https://www.goibibo.com/hotels/white-castle-hotel-in-Gurgaon-7589878869279253390|https://www.goibibo.com/hotels/yes-rooms-gold-souk-hotel-in-Gurgaon-2733237716831100695,8,4.5,Service Quality::4.7|Amenities::4.7|Food and Drinks::4.3|Value for Money::4.7|Location::4.8|Cleanliness::4.8,goibibo,Haryana,e98f69f889c0235e6dc480e7df6de0de
Restaurant|Swimming Pool,"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,India,2016-07-24,50,null,regular,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Resort is undergoing minor external repair/maintenance, inconvenience regretted Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,0,28,15.5483979815,Calangute Area,73.7576337604,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6611126874555866446/na/hq/,"Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",HTLGBO1000004551,Bevvan Resort,Resort,Goa,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::1|reviews with images::1,"",15,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Mirror|Mini Refrigerator|Luggage Rack|Attached Bathroom,Standard Room,"https://www.goibibo.com/hotels/sunrise-beach-resort-hotel-in-Goa-5324437641632332663|https://www.goibibo.com/hotels/rbr-suites-hotel-in-Goa-2979003837674379155|https://www.goibibo.com/hotels/la-baga-beach-hotel-hotel-in-Goa-359542027184165900|https://www.goibibo.com/hotels/sai-sharan-guest-house-hotel-in-Goa-5462760035541548851|https://www.goibibo.com/hotels/m.r-goa-hotel-in-Goa-403522389042680582|https://www.goibibo.com/hotels/leisure-cottages-hotel-in-Goa-8192292456216101314|https://www.goibibo.com/hotels/laxmi-guest-house,-calangute-hotel-in-Goa-1150759101499179878|https://www.goibibo.com/hotels/moonlight-calangute-beach-hotel-in-Goa-1824909062047021361",2,2.5,Service Quality::2.5|Amenities::2.5|Food and Drinks::1.0|Value for Money::2.5|Location::2.5|Cleanliness::1.0,goibibo,Goa,9b59d00eaffc273d83000ed7dcda0e83
"",Simsa,Village Simsa,Manali,India,2016-07-24,100,null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,2,4,32.2236026,Village Simsa,77.1858995,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/5894044798937879118/na/hq/,The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market,HTLGBO1000007993,Apple Inn Cottage,Cottage,Manali,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::0,"",24,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water,Deluxe Room,https://www.goibibo.com/hotels/green-cottages-hotel-in-Manali-3744638858606558314|https://www.goibibo.com/hotels/sunrise-cottage-hotel-in-Manali-2829535257530131241|https://www.goibibo.com/hotels/nihal-cottage---a-unit-of-ride-at-hill-hotel-in-Manali-4646751368358087618|https://www.goibibo.com/hotels/new-paramount-cottage-hotel-in-Manali-8235698902028417861|https://www.goibibo.com/hotels/green-vista-cottages-hotel-in-Manali-5607369050815775976|https://www.goibibo.com/hotels/himalayan-ecstasy-by-dewdrop-hotel-in-Manali-4278742325709721904|https://www.goibibo.com/hotels/rock-villa-manali-hotel-in-Manali-4341008290722172123,1,5.0,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,goibibo,Himachal Pradesh,df0971f9c5501af112485ee28b468ce5
Internet Access|Restaurant,"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,India,2016-07-24,63,null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried couples are not allowed for check in. Guests with local Delhi NCR ID will not be allowed for check-in.,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,2,6,28.6467775,Paharganj,77.2127353,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/7309398067370029045/na/hq/,Gaffar Market|YMCA Institute|Agrasen Boali|Chandni Chowk|Shivaji Stadium|Paharganj|Jantar Mantar|Talkatora Indoor Stadium|Central Delhi|Ajmeri Gate|Karnail Singh Stadium,HTLGBO1000008281,Anmol Hotel Pvt.Ltd,Hotel,Delhi,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::56|critical reviews::65|reviews with images::17,14 X 14 Sq.ft.,20,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Mirror,Standard Room Non AC,https://www.goibibo.com/hotels/delhi-continental-hotel-in-Delhi-537225846114838356|https://www.goibibo.com/hotels/delhi-regency-hotel-in-Delhi-3540065430342971623|https://www.goibibo.com/hotels/maanvi-hotel-in-Delhi-6564512803985465151|https://www.goibibo.com/hotels/milan-continental-hotel-in-Delhi-5671806873048848410|https://www.goibibo.com/hotels/royal-plaza--hotel-in-Delhi-2684400212131173324|https://www.goibibo.com/hotels/shiv-palace-hotel-in-Delhi-4140059490961927842|https://www.goibibo.com/hotels/yatri-international-g.h-hotel-in-Delhi-8389725206211534807|https://www.goibibo.com/hotels/delhi-darshan-dx-hotel-in-Delhi-512479384527942098|https://www.goibibo.com/hotels/ashoka-continental-hotel-in-Delhi-152121932889411829|https://www.goibibo.com/hotels/amax-inn-hotel-in-Delhi-7869803794371651536|https://www.goibibo.com/hotels/family-deluxe-hotel-in-Delhi-825809445121504852,121,2.8,Service Quality::2.7|Amenities::2.6|Food and Drinks::2.5|Value for Money::2.9|Location::2.9|Cleanliness::2.6,goibibo,Delhi,0c3514344c9cda8718f558e84bdb44ef
Room Service|Internet Access,"Baga Beach, Calangute, Goa",Baga Area,Goa,India,2016-07-24,68,null,regular,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Mandatory  Gala Dinner on 31st Dec at Rs. 1500/- per person. Children below 10 years @ Rs. 750 Gala dinner charges directly payable at the hotel No check out allowed on 25 Dec, 31st Dec  and 1 Jan Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.",Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),3,12,15.5609234692,Baga Area,73.7497587248,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3768679679353292888/na/hq/,"North Goa|Calangute Beach|Baga Area|Anjuna Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",HTLGBO1000002591,Baia Do Sol (A Boutique Beach Resort),Resort,Goa,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::14|critical reviews::2|reviews with images::3,"",15,"",Semi Deluxe,"https://www.goibibo.com/hotels/agnelo's-inn-hotel-in-Goa-4111512929038580341|https://www.goibibo.com/hotels/sheesha-beach-cottages-hotel-in-Goa-614871737989607146|https://www.goibibo.com/hotels/vincent-guest-house-hotel-in-Goa-3704123428073704753|https://www.goibibo.com/hotels/divine-guest-house-hotel-in-Goa-2954780291135947297|https://www.goibibo.com/hotels/romeos-place-hotel-in-Goa-1492939295441667716|https://www.goibibo.com/hotels/maria-cottages-hotel-in-Goa-4100852397822520469|https://www.goibibo.com/hotels/dee-royal-castle-beach-resort---hotel-in-Goa-3468098055488466180|https://www.goibibo.com/hotels/larios-beach-holidays--hotel-in-Goa-409514612567707149|https://www.goibibo.com/hotels/baga-yotel-hotel-in-Goa-8247813163062531116|https://www.goibibo.com/hotels/yesho-holidays,-baga-hotel-in-Goa-4500141385606030184|https://www.goibibo.com/hotels/atharv-coastal-end-guest-house-hotel-in-Goa-2023641376376684378|https://www.goibibo.com/hotels/stanleys-guest-house-baga-hotel-in-Goa-1773695945786631356|https://www.goibibo.com/hotels/amoura-beach-resort--hotel-in-Goa-4625656295821698199|https://www.goibibo.com/hotels/cavala-seaside-resort-hotel-in-Goa-7086852492216111810",16,3.9,Service Quality::3.9|Amenities::3.8|Food and Drinks::4.7|Value for Money::3.9|Location::4.4|Cleanliness::4.6,goibibo,Goa,9250fc9e71eb1b99830b039492310c60
Free Internet,"K-69, Kalkaji",Kalkaji,Delhi,India,2016-07-24,"",null,regular,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,2,3,28.5403197,Kalkaji,77.2613326,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/4322682276577382235/na/hq/,Tughlakabad Fort|South Delhi|Masjid Moth|IIBMS|Lotus Temple|District Court Saket|Lajpat Nagar Market|Indraprastha Apollo Hospitals|Jamia Millia Islamia|Moolchand Medcity|ISKCON Temple|Lajpat Nagar|Batra Hospital &amp; Medical Research Centre|Fortis La Femme|Fortis Escorts Heart Institute &amp; Research Centre|Pushpawati Singhania Research Institute|Siri Fort|Kalkaji|Batra Hospital & Medical Research Centre|Fortis Escorts Heart Institute & Research Centre,HTLGBO1000016284,Balaji Residency,Hotel,Delhi,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,"","",10,Basic Bathroom Amenities|Hairdryer (on request)|Internet Connection In Room| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,Deluxe A/C Room,"https://www.goibibo.com/hotels/le-grand-hotel-in-Delhi-2207951214103114585|https://www.goibibo.com/hotels/grd-inn-hotel-in-Delhi-3948766682880786163|https://www.goibibo.com/hotels/sareen-villa-hotel-in-Delhi-206057762278380883|https://www.goibibo.com/hotels/olive-apartments-c-452,defence-colony-hotel-in-Delhi-8283567430690789378","","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,815a2a40bc6cc2b3161553cb67a33b03
Room Service|Internet Access|Restaurant|Free Internet,"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,India,2016-07-24,76,null,gostays,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,3,20,28.6505881342,Karol Bagh Area,77.1946919955,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/5862309908432478435/na/hq/,International Airport|Domestic Airport|New Delhi Railway Station|India Gate|Red Fort|Lotus Temple|Nehru Place|Connaught Place|Jantar Mantar|Qutab Minar|Gurgaon|Birla Mandir|Karol Bagh Metro Station|Noida|Liberty Theatre|Jhandewalan Mandir|Gaffar Market|Shivaji Stadium|Karol Bagh Area|Talkatora Indoor Stadium|Sarai Rohilla Station|Ajmeri Gate|Karnail Singh Stadium|West Delhi,HTLGBO1000000104,BB Palace-A Boutique Hotel,Hotel,Delhi,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::452|critical reviews::98|reviews with images::58,21 X 21 Sq.ft.,24,Room Service |Air Conditioning |Ensuite / Private Bathroom|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Voicemail|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Bathrobes|Mirror|Luggage Rack,Club Room,https://www.goibibo.com/hotels/eliza-continental-hotel-in-Delhi-7162813811653471497|https://www.goibibo.com/hotels/ahluwalia-palace-hotel-in-Delhi-8167612303475571960|https://www.goibibo.com/hotels/-hotel-kabila-hotel-in-Delhi-4588528976528098651,550,4.0,Service Quality::4.0|Amenities::3.9|Food and Drinks::4.1|Value for Money::4.0|Location::4.0|Cleanliness::4.1,goibibo,Delhi,04e102bdd434eaeec45f095aac031106
"","85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,India,2016-07-24,0,null,regular,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,1,5,26.9047751,Others,75.7488641,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/2733323897862092484/na/hq/,Others|K.L. Saini Stadium|BAPS Shri Swaminarayan Mandir,HTLGBO1000061958,Art Inn Homestay,Homestay,Jaipur,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::0,"",2,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Standared Room,https://www.goibibo.com/hotels/sarovar-portico-jaipur-hotel-in-Jaipur-3577696740667100068|https://www.goibibo.com/hotels/colonel's-homestead-hotel-in-Jaipur-4583180496451155305|https://www.goibibo.com/hotels/tordi-palace-hotel-in-Jaipur-1678501512604360727|https://www.goibibo.com/hotels/marc-inn-hotel-in-Jaipur-2642570912841244766|https://www.goibibo.com/hotels/seven-seas-hotel-in-Jaipur-207322209378138722|https://www.goibibo.com/hotels/nohra-homestay-hotel-in-Jaipur-576350784450660389|https://www.goibibo.com/hotels/royale-lalit-hotel-hotel-in-Jaipur-3236234342441807440|https://www.goibibo.com/hotels/rawla-rawatsar-hotel-in-Jaipur-1536996533947398425|https://www.goibibo.com/hotels/avana-hotel-in-Jaipur-9217799449466810298,1,3.0,Service Quality::4.0|Amenities::2.0|Food and Drinks::3.0|Value for Money::1.0|Location::4.0|Cleanliness::3.0,goibibo,Rajasthan,059fa03383171456eb56f4503d499f6f
"",51 Amri Nagar south ex,South Extension,Delhi,India,2016-07-24,"",null,regular,"The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas  New year dates, High season  long weekend dates  extra supplement will be charged over  above the paid rates as per actual  hotel discretion",Doctor on Call|Front Desk|24 Hour Front Desk,0,6,28.5732907,South Extension,77.2219418,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/6345938336663021173/na/hq/,Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Khan Market|ISKCON Temple|AASHLOK Hospital|Thyagaraj Sports Complex|Japanese Embassy|INA Market|French Cultural Center in India|South Extension|Hauz Khas|Lajpat Nagar Market|Embassy of Spain|Lajpat Nagar|Lodhi Gardens|Metro Station Hauz Khas|Deer Park|Embassy of The Arab Republic of Egypt|Masjid Moth|Hazrat Nizammudin Railway Station|Ethiopia Embassy|Humayuns Tomb|Jawaharlal Nehru Stadium|Moolchand Medcity|Sarojini Nagar Market|Safdarjang Hospital|Embassy of Israel|Siri Fort|Brazil Embassy,HTLGBO1000073032,Arjun Homestay,Homestay,Delhi,2016-07-24 01:12:30 +0000,2016-07-24 01:12:30 +0000,"","",4,Room Service |Basic Bathroom Amenities,Deluxe,https://www.goibibo.com/hotels/skylink-suites-hotel-in-Delhi-8067768056618606410|https://www.goibibo.com/hotels/jagannath-guest-house-hotel-in-Delhi-4333356750051129564|https://www.goibibo.com/hotels/comfort-bnb-hotel-in-Delhi-6503303861583884599|https://www.goibibo.com/hotels/kumar-bed-and-breakfast-hotel-in-Delhi-1612806011154902478|https://www.goibibo.com/hotels/leefa-home-hotel-in-Delhi-8986732768093317560|https://www.goibibo.com/hotels/olive-service-apartments-defence-colony-hotel-in-Delhi-5047317835166572542|https://www.goibibo.com/hotels/the-loft-bed-&-breakfast-hotel-in-Delhi-3160296891576504057|https://www.goibibo.com/hotels/boribista-backpacking-hostel-hotel-in-Delhi-6946691218408031797|https://www.goibibo.com/hotels/lotus-bed-and-breakfast-hotel-in-Delhi-4671966758568123796,"","",Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,78e97b94135c33b231335c42695149ed
